"id,Theater,geojson_coordinates"
"1,San Cassiano,""[12.33036944, 45.4385]"""
"2,Sant' Angelo,""[12.33035, 45.4379]"""
"3,San Samuele,""[12.32893611, 45.4359]"""
"4,the Villa Contarini (Piazzola),""[11.78529, 45.62689]"""
"5,SS. Giovanni e Paolo,""[12.340781, 45.441653]"""
"6,San Salvatore,""[12.3353, 45.4377]"""
"7,San Moise,""[12.336111, 45.433889]"""
"8,San Giovanni Grisostomo,""[12.338162, 45.440263]"""
"9,Santa Margherita,""[12.32415, 45.4353]"""
"10,SS. Apostoli,""[12.338167, 45.440639]"""
"11,San Fantin,""[12.334333, 45.433867]"""
"12,the Teatro di Cannaregio,""[12.3396, 45.4722]"""
